game_id,game_date,attendance,game_time
29600326,19961217000000,19763.0,221
29600327,19961217000000,10078.0,203
29600338,19961218000000,7682.0,159
29600336,19961218000000,21454.0,160
29600337,19961218000000,16829.0,213
29600340,19961218000000,12818.0,202
29600334,19961218000000,17248.0,255
29600335,19961218000000,13533.0,208
29600339,19961218000000,19023.0,215
29600346,19961219000000,7399.0,212
29600342,19961219000000,14919.0,232
29600345,19961219000000,16285.0,206
29600344,19961219000000,15321.0,222
29600347,19961219000000,17317.0,230
29600343,19961219000000,24042.0,152
29600354,19961220000000,10020.0,152
29600350,19961220000000,17248.0,209
29600353,19961220000000,16110.0,209
29600352,19961220000000,14624.0,207
29600355,19961220000000,20123.0,211
29600356,19961220000000,17072.0,201
29600359,19961221000000,20918.0,217
29600362,19961221000000,18127.0,209
29600361,19961221000000,14015.0,156
29600363,19961221000000,16285.0,206
29600358,19961221000000,14181.0,215
29600357,19961221000000,19763.0,215
29600360,19961221000000,24042.0,204
29600365,19961221000000,17317.0,241
29600366,19961222000000,15454.0,206
29600367,19961222000000,17205.0,206
29600371,19961222000000,15751.0,210
29600369,19961222000000,13436.0,215
29600368,19961222000000,14533.0,203
29600374,19961223000000,23601.0,150
29600375,19961223000000,14434.0,205
29600380,19961223000000,20219.0,157
29600377,19961223000000,24702.0,209
29600373,19961223000000,17248.0,209
29600378,19961223000000,19023.0,224
29600372,19961223000000,19763.0,207
29600376,19961223000000,16285.0,202
29600381,19961225000000,23744.0,212
29600389,19961226000000,13365.0,202
29600392,19961226000000,17317.0,200
29600387,19961226000000,18717.0,201
29600390,19961226000000,16026.0,157
29600383,19961226000000,15200.0,207
29600391,19961226000000,19911.0,219
29600384,19961226000000,16378.0,220
29600386,19961226000000,21454.0,235
29600393,19961226000000,17072.0,208
29600396,19961227000000,24042.0,160
29600399,19961227000000,17505.0,215
29600397,19961227000000,19164.0,204
29600395,19961227000000,18756.0,203
29600394,19961227000000,15152.0,213
29600400,19961228000000,19763.0,211
29600405,19961228000000,18042.0,221
29600404,19961228000000,18814.0,233
29600401,19961228000000,11797.0,159
29600406,19961228000000,16285.0,202
29600408,19961228000000,17317.0,202
29600407,19961228000000,19911.0,160
29600402,19961228000000,21454.0,153
29600409,19961228000000,16757.0,211
29600413,19961229000000,20049.0,210
29600412,19961229000000,17505.0,215
29600410,19961229000000,15148.0,229
29600423,19961230000000,15749.0,209
29600417,19961230000000,21454.0,203
29600422,19961230000000,7865.0,228
29600416,19961230000000,16587.0,216
29600414,19961230000000,19763.0,212
29600420,19961230000000,15330.0,206
29600418,19961230000000,23692.0,208
29600421,19961230000000,19023.0,212
29600425,19970102000000,17248.0,235
29600424,19970102000000,18756.0,215
29600428,19970102000000,15272.0,209
29600432,19970102000000,17317.0,213
29600431,19970102000000,15220.0,204
29600427,19970102000000,24042.0,208
29600436,19970103000000,16590.0,220
29600441,19970103000000,19193.0,206
29600434,19970103000000,16054.0,204
29600440,19970103000000,17715.0,230
29600438,19970103000000,10504.0,209
29600437,19970103000000,23904.0,159
29600435,19970103000000,14310.0,158
29600439,19970103000000,17505.0,220
29600447,19970104000000,15148.0,217
29600442,19970104000000,24042.0,158
29600444,19970104000000,17852.0,213
29600448,19970104000000,16285.0,217
29600449,19970104000000,19911.0,220
29600445,19970104000000,21454.0,203
29600446,19970104000000,17218.0,218
29600443,19970104000000,16378.0,333
29600453,19970105000000,17317.0,217
29600454,19970105000000,19193.0,214
29600451,19970105000000,19763.0,215
29600452,19970105000000,12891.0,209
29600450,19970105000000,15452.0,207
29600455,19970106000000,23882.0,202
29600456,19970106000000,12314.0,209
29600462,19970107000000,15249.0,209
29600466,19970107000000,17317.0,156
29600458,19970107000000,19763.0,206
29600461,19970107000000,8317.0,236
29600459,19970107000000,13860.0,201
29600467,19970107000000,17072.0,226
29600465,19970107000000,18658.0,209
29600460,19970107000000,17248.0,213
29600463,19970107000000,17224.0,205
29600474,19970108000000,16980.0,216
29600471,19970108000000,20562.0,218
29600476,19970108000000,20047.0,220
29600472,19970108000000,13682.0,240
29600475,19970108000000,12819.0,214
29600473,19970108000000,9307.0,206
29600469,19970108000000,10756.0,208
29600470,19970108000000,14911.0,238
29600468,19970108000000,14490.0,157
29600478,19970109000000,17248.0,231
29600477,19970109000000,14025.0,209
29600479,19970109000000,16517.0,202
29600487,19970110000000,19023.0,202
29600484,19970110000000,19733.0,208
29600485,19970110000000,18717.0,208
29600483,19970110000000,14040.0,208
29600488,19970110000000,17505.0,216
29600486,19970110000000,12310.0,159
29600481,19970110000000,18019.0,234
29600482,19970110000000,20454.0,153
29600495,19970111000000,16093.0,223
29600490,19970111000000,15527.0,212
29600496,19970111000000,15174.0,213
29600491,19970111000000,15877.0,226
29600498,19970111000000,16092.0,214
29600494,19970111000000,24196.0,159
29600493,19970111000000,21454.0,206
29600492,19970111000000,19103.0,203
29600500,19970112000000,13289.0,153
29600501,19970112000000,17317.0,205
29600503,19970113000000,13438.0,219
29600502,19970113000000,13989.0,221
29600507,19970113000000,7573.0,212
29600506,19970113000000,12905.0,216
29600504,19970113000000,14921.0,214
29600505,19970113000000,14565.0,157
29600515,19970114000000,20064.0,206
29600510,19970114000000,23891.0,214
29600511,19970114000000,16285.0,209
29600512,19970114000000,19023.0,202
29600513,19970114000000,15606.0,205
29600514,19970114000000,17317.0,225
29600508,19970114000000,14235.0,207
29600509,19970114000000,14032.0,223
29600519,19970115000000,13585.0,208
29600523,19970115000000,16059.0,158
29600517,19970115000000,24042.0,205
29600522,19970115000000,17072.0,159
29600521,19970115000000,7233.0,201
29600518,19970115000000,20113.0,201
29600516,19970115000000,10932.0,205
29600520,19970115000000,14541.0,211
29600524,19970116000000,15039.0,212
29600527,19970116000000,8072.0,214
29600525,19970116000000,16378.0,209
29600528,19970116000000,19911.0,214
29600534,19970117000000,18042.0,204
29600530,19970117000000,15583.0,236
29600538,19970117000000,15173.0,159
29600535,19970117000000,13938.0,205
29600533,19970117000000,23898.0,154
29600536,19970117000000,20212.0,206
29600537,19970117000000,17072.0,205
29600531,19970117000000,12756.0,204
29600539,19970118000000,16752.0,209
29600541,19970118000000,16378.0,154
29600542,19970118000000,17891.0,207
29600544,19970118000000,19023.0,216
29600545,19970118000000,17505.0,249
29600540,19970118000000,15119.0,208
29600543,19970118000000,9618.0,209
29600547,19970119000000,16378.0,225
29600549,19970119000000,7118.0,308
29600551,19970119000000,17474.0,210
