person_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag
76711,ArnieFerrin,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,Utah,CollegeUniversity,1
76768,BillyGabor,1948,0,0,0,Draft,1610612758,Rochester,Royals,ROC,Syracuse,CollegeUniversity,1
76773,HarryGallatin,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,TrumanState,CollegeUniversity,1
76778,EarlGardner,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,DePauw,CollegeUniversity,1
76808,DeeGibson,1948,0,0,0,Draft,1610612747,Minneapolis,Lakers,MNL,WesternKentucky,CollegeUniversity,1
76080,JohnnyBach,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Fordham,CollegeUniversity,1
76155,GeneBerce,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,Marquette,CollegeUniversity,1
79373,NormanKohler,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,NorthCarolina,CollegeUniversity,0
79372,JackColeman,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,LouisianaState,CollegeUniversity,0
78141,DickShrider,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,Ohio,CollegeUniversity,1
78225,OdieSpears,1948,0,0,0,Draft,1610610025,Chicago,Stags,CHS,WesternKentucky,CollegeUniversity,1
78434,BradyWalker,1948,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,BrighamYoung,CollegeUniversity,1
78483,DickWehr,1948,0,0,0,Draft,1610610029,Indianapolis,Jets,JET,Rice,CollegeUniversity,1
78521,MurrayWier,1948,0,0,0,Draft,1610612765,FtWayneZollner,Pistons,FTW,Iowa,CollegeUniversity,1
78525,DCWilcutt,1948,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,SaintLouis,CollegeUniversity,1
