game_date_est,game_sequence,game_id,game_status_id,game_status_text,gamecode,home_team_id,visitor_team_id,season,live_period,live_pc_time,natl_tv_broadcaster_abbreviation,live_period_time_bcast,wh_status
20220206000000,8.0,22100809,3,Final,20220206MILLAC,1610612746,1610612749,2021,4,,NBATV,Q4NBATV,1
20220207000000,3.0,22100812,3,Final,20220207PHXCHI,1610612741,1610612756,2021,4,,NBATV,Q4NBATV,1
20220208000000,8.0,22100822,3,Final,20220208MILLAL,1610612747,1610612749,2021,4,,TNT,Q4TNT,1
20220208000000,3.0,22100817,3,Final,20220208BOSBKN,1610612751,1610612738,2021,4,,TNT,Q4TNT,1
20220209000000,2.0,22100826,3,Final,20220209CHICHA,1610612766,1610612741,2021,4,,ESPN,Q4ESPN,1
20220210000000,2.0,22100832,3,Final,20220210BKNWAS,1610612764,1610612751,2021,4,,TNT,Q4TNT,1
20220212000000,10.0,22100854,3,Final,20220212LALGSW,1610612744,1610612747,2021,4,,ABC,Q4ABC,1
20220213000000,1.0,22100856,3,Final,20220213ATLBOS,1610612738,1610612737,2021,4,,ABC,Q4ABC,1
20220214000000,4.0,22100861,3,Final,20220214SASCHI,1610612741,1610612759,2021,4,,NBATV,Q4NBATV,1
20220214000000,9.0,22100866,3,Final,20220214GSWLAC,1610612746,1610612744,2021,4,,NBATV,Q4NBATV,1
20220215000000,7.0,22100873,3,Final,20220215LACPHX,1610612756,1610612746,2021,4,,TNT,Q4TNT,1
20220215000000,3.0,22100869,3,Final,20220215BOSPHI,1610612755,1610612738,2021,4,,TNT,Q4TNT,1
20220216000000,11.0,22100884,3,Final,20220216UTALAL,1610612747,1610612762,2021,4,,ESPN,Q4ESPN,1
20220217000000,4.0,22100887,3,Final,20220217PHIMIL,1610612749,1610612755,2021,4,,TNT,Q4TNT,1
20220224000000,6.0,22100894,3,Final,20220224GSWPOR,1610612757,1610612744,2021,4,,TNT,Q4TNT,1
20220227000000,6.0,22100917,3,Final,20220227DALGSW,1610612744,1610612742,2021,4,,ESPN,Q4ESPN,1
20220227000000,1.0,22100912,3,Final,20220227PHINYK,1610612752,1610612755,2021,4,,ABC,Q4ABC,1
20220303000000,2.0,22100940,3,Final,20220303MEMBOS,1610612738,1610612763,2021,4,,TNT,Q4TNT,1
20220303000000,7.0,22100945,3,Final,20220303LALLAC,1610612746,1610612747,2021,4,,TNT,Q4TNT,1
20220304000000,5.0,22100949,3,Final,20220304MILCHI,1610612741,1610612749,2021,4,,ESPN,Q4ESPN,1
20220304000000,9.0,22100953,3,Final,20220304NYKPHX,1610612756,1610612752,2021,4,,ESPN,Q4ESPN,1
20220306000000,1.0,22100960,3,Final,20220306BKNBOS,1610612738,1610612751,2021,4,,ABC,Q4ABC,1
20220306000000,6.0,22100962,3,Final,20220306TORCLE,1610612739,1610612761,2021,4,,ESPN,Q4ESPN,1
20220306000000,2.0,22100961,3,Final,20220306PHXMIL,1610612749,1610612756,2021,4,,ABC,Q4ABC,1
20220307000000,7.0,22100528,3,Final,20220307GSWDEN,1610612743,1610612744,2021,4,,NBATV,Q4NBATV,1
20220308000000,4.0,22100978,3,Final,20220308NOPMEM,1610612763,1610612740,2021,4,,TNT,Q4TNT,1
20220308000000,6.0,22100980,3,Final,20220308LACGSW,1610612744,1610612746,2021,4,,TNT,Q4TNT,1
20220309000000,3.0,22100983,3,Final,20220309PHXMIA,1610612748,1610612756,2021,4,,ESPN,Q4ESPN,1
20220310000000,1.0,22100993,3,Final,20220310BKNPHI,1610612755,1610612751,2021,4,,TNT,Q4TNT,1
20220312000000,4.0,22101008,3,Final,20220312MILGSW,1610612744,1610612749,2021,4,,ABC,Q4ABC,1
20220313000000,1.0,22101012,3,Final,20220313NYKBKN,1610612751,1610612752,2021,4,,ABC,Q4ABC,1
20220313000000,8.0,22101019,3,Final,20220313LALPHX,1610612756,1610612747,2021,4,,ESPN,Q4ESPN,1
20220314000000,8.0,22101027,3,Final,20220314MILUTA,1610612762,1610612749,2021,4,,ESPN,Q4ESPN,1
20220315000000,4.0,22101032,3,Final,20220315PHXNOP,1610612740,1610612756,2021,4,,NBATV,Q4NBATV,1
20220316000000,4.0,22101036,3,Final,20220316DALBKN,1610612751,1610612742,2021,4,,ESPN,Q4ESPN,1
20220316000000,10.0,22101042,3,Final,20220316BOSGSW,1610612744,1610612738,2021,4,,ESPN,Q4ESPN,1
20220318000000,2.0,22101047,3,Final,20220318MEMATL,1610612737,1610612763,2021,4,,NBATV,Q4NBATV,1
20220318000000,11.0,22101056,3,Final,20220318CHIPHX,1610612756,1610612741,2021,4,,NBATV,Q4NBATV,1
20220322000000,2.0,22101081,3,Final,20220322ATLNYK,1610612752,1610612737,2021,4,,TNT,Q4TNT,1
20220323000000,10.0,22101093,3,Final,20220323PHILAL,1610612747,1610612755,2021,4,,ESPN,Q4ESPN,1
20220324000000,5.0,22101099,3,Final,20220324PHXDEN,1610612743,1610612756,2021,4,,NBATV,Q4NBATV,1
20220325000000,3.0,22101102,3,Final,20220325GSWATL,1610612737,1610612744,2021,4,,NBATV,Q4NBATV,1
20220325000000,7.0,22101106,3,Final,20220325PHILAC,1610612746,1610612755,2021,4,,NBATV,Q4NBATV,1
20220326000000,5.0,22101111,3,Final,20220326BKNMIA,1610612748,1610612751,2021,4,,NBATV,Q4NBATV,1
20220327000000,6.0,22101120,3,Final,20220327CHABKN,1610612751,1610612766,2021,4,,NBATV,Q4NBATV,1
20220329000000,4.0,22101134,3,Final,20220329LALDAL,1610612742,1610612747,2021,4,,TNT,Q4TNT,1
20220331000000,5.0,22101150,3,Final,20220331LALUTA,1610612762,1610612747,2021,4,,TNT,Q4TNT,1
20220401000000,10.0,22101160,3,Final,20220401NOPLAL,1610612747,1610612740,2021,4,,NBATV,Q4NBATV,1
20220401000000,5.0,22101155,3,Final,20220401PHXMEM,1610612763,1610612756,2021,4,,NBATV,Q4NBATV,1
20220402000000,3.0,22101163,3,Final,20220402BKNATL,1610612737,1610612751,2021,4,,NBATV,Q4NBATV,1
20220403000000,2.0,22101167,3,Final,20220403DALMIL,1610612749,1610612742,2021,4,,ABC,Q4ABC,1
20220403000000,7.0,22101172,3,Final,20220403MIATOR,1610612761,1610612748,2021,4,,NBATV,Q4NBATV,1
20220405000000,6.0,22101183,3,Final,20220405MILCHI,1610612741,1610612749,2021,4,,ESPN,Q4ESPN,1
20220406000000,6.0,22101195,3,Final,20220406PHXLAC,1610612746,1610612756,2021,4,,ESPN,Q4ESPN,1
20220406000000,2.0,22101191,3,Final,20220406BKNNYK,1610612752,1610612751,2021,4,,ESPN,Q4ESPN,1
20220407000000,3.0,22101198,3,Final,20220407BOSMIL,1610612749,1610612738,2021,4,,TNT,Q4TNT,1
20220407000000,7.0,22101202,3,Final,20220407LALGSW,1610612744,1610612747,2021,4,,TNT,Q4TNT,1
20220408000000,8.0,22101210,3,Final,20220408PHXUTA,1610612762,1610612756,2021,4,,NBATV,Q4NBATV,1
20220410000000,5.0,22101223,3,Final,20220410BOSMEM,1610612763,1610612738,2021,4,,TNT,Q4TNT,1
20220410000000,1.0,22101216,3,Final,20220410INDBKN,1610612751,1610612754,2021,4,,ESPN,Q4ESPN,1
20220410000000,13.0,22101225,3,Final,20220410GSWNOP,1610612740,1610612744,2021,4,,TNT,Q4TNT,1
20211003000000,1.0,12100001,3,Final,20211003BKNLAL,1610612747,1610612751,2021,4,,NBATV,Q4NBATV,1
20211004000000,3.0,12100004,3,Final,20211004ATLMIA,1610612748,1610612737,2021,4,,NBATV,Q4NBATV,1
20211004000000,7.0,12100008,3,Final,20211004GSWPOR,1610612757,1610612744,2021,4,,NBATV,Q4NBATV,1
20211005000000,4.0,12100014,3,Final,20211005MILMEM,1610612763,1610612749,2021,4,,TNT,Q4TNT,1
20211006000000,5.0,12100018,3,Final,20211006UTADAL,1610612742,1610612762,2021,4,,NBATV,Q4NBATV,1
20211008000000,7.0,12100031,3,Final,20211008LALGSW,1610612744,1610612747,2021,4,,NBATV,Q4NBATV,1
20211009000000,3.0,12100034,3,Final,20211009ATLMEM,1610612763,1610612737,2021,4,,NBATV,Q4NBATV,1
20211010000000,4.0,12100038,3,Final,20211010PHXLAL,1610612747,1610612756,2021,4,,ESPN,Q4ESPN,1
20211011000000,7.0,12100045,3,Final,20211011MINLAC,1610612746,1610612750,2021,4,,NBATV,Q4NBATV,1
20211011000000,3.0,12100041,3,Final,20211011BKNPHI,1610612755,1610612751,2021,4,,ESPN2,Q4ESPN2,1
20211012000000,1.0,12100046,3,Final,20211012TORWAS,1610612764,1610612761,2021,4,,NBATV,Q4NBATV,1
